repository_name,language
.github,
app-store-server-library-java,Java
app-store-server-library-node,TypeScript
app-store-server-library-python,Python
app-store-server-library-swift,Swift
apple-ads-platform-api-java,Java
apple-ads-platform-api-node,TypeScript
apple-ads-platform-api-python,Python
apple-ads-platform-api-swift,Swift
apple-llvm-infrastructure-tools,C++
apple-root-program,
apple_rules_lint,Starlark
AudioUnit-Examples,Swift
AudioUnitSDK,C++
axlearn,Python
batch-processing-gateway,Java
ccs-caldavclientlibrary,HTML
ccs-caldavtester,Python
ccs-calendarserver,Python
ccs-pycalendar,Python
ccs-pykerberos,C
ccs-pyopendirectory,C++
ccs-pyosxframeworks,Python
ccs-pysecuretransport,Python
ccs-twistedextensions,Python
container,Swift
container-builder-shim,Go
containerization,Swift
coreai-models,Swift
coreai-optimization,Python
coreai-torch,Python
corecrypto,C++
coremltools,Python
corenet,Jupyter Notebook
cups,C
darwin-libplatform,C
darwin-libpthread,C
darwin-xnu,C
device-management,
dnikit,Python
eidas,Go
embedding-atlas,TypeScript
example-package-fisheryates,Swift
FHIRModels,Swift
foundation-models-utilities,Swift
foundationdb,C++
fstools,C
game-center-tools,Python
game-porting-toolkit,
GCGC,Jupyter Notebook
highlightjs-pkl,JavaScript
homebrew-apple,Ruby
HomeKitADK,C
llvm-monorepo-root,
llvm-project-v5,C++
llvm-project-v5-split,C++
mapkit-loader,TypeScript
metal-cpp,C++
music-feed-examples,Java
openjdk,Java
pass-builder,Swift
password-manager-resources,JavaScript
pcc-vre-pir-service,Swift
pfl-research,Jupyter Notebook
pir-service-example,Swift
pkl,Java
pkl-evolution,
pkl-go,Go
pkl-go-examples,Go
pkl-intellij,Kotlin
pkl-jvm-examples,Pkl
pkl-k8s,Pkl
pkl-k8s-examples,Pkl
pkl-lang.org,CSS
pkl-lsp,Kotlin
pkl-neovim,Lua
pkl-package-docs,Kotlin
pkl-pantry,Pkl
pkl-project-commons,Pkl
pkl-readers,Go
pkl-spring,Java
pkl-swift,Swift
pkl-swift-examples,Swift
pkl-vscode,TypeScript
pkl.tmbundle,Pkl
plugins-for-godot,Objective-C++
pollianna,Java
publicsuffix-list,Go
python-apple-fm-sdk,Python
reality-composer-pro-plugin,Swift
realitykitscripting,Swift
rules_pkl,Starlark
rules_servicetalk,Starlark
sample-backyard-birds,Swift
sample-cloudkit-coredatasync,Swift
sample-cloudkit-encryption,Swift
sample-cloudkit-privatedb,Swift
sample-cloudkit-privatedb-sync,Swift
sample-cloudkit-queries,Swift
sample-cloudkit-sharing,Swift
sample-cloudkit-sync-engine,Swift
sample-cloudkit-tooling,JavaScript
sample-cloudkit-zonesharing,Swift
sample-fbounds-safety-adoption,HTML
sample-food-truck,Swift
security-pcc,Swift
servicetalk,Java
StreamingSession,C#
swift-algorithms,Swift
swift-argument-parser,Swift
swift-asn1,Swift
swift-async-algorithms,Swift
swift-async-dns-resolver,Swift
swift-atomics,Swift
swift-binary-parsing,Swift
swift-cassandra-client,Swift
swift-certificates,Swift
swift-clang,C++
swift-clang-tools-extra,C++
swift-cluster-membership,Swift
swift-collections,Swift
swift-collections-benchmark,Swift
swift-compiler-rt,C
swift-configuration,Swift
swift-container-plugin,Swift
swift-crypto,Assembly
swift-distributed-actors,Swift
swift-distributed-tracing,Swift
swift-distributed-tracing-baggage-core,Swift
swift-distributed-tracing-extras,Swift
swift-homomorphic-encryption,Swift
swift-homomorphic-encryption-protobuf,
swift-http-api-proposal,Swift
swift-http-structured-headers,Swift
swift-http-types,Swift
swift-internals,HTML
swift-issues,
swift-libcxx,C++
swift-llbuild2,Swift
swift-lldb,C++
swift-llvm,LLVM
swift-log,Swift
swift-metrics,Swift
swift-mmio,Swift
swift-network-evolution,Swift
swift-nio,Swift
swift-nio-examples,Swift
swift-nio-extras,Swift
swift-nio-http2,Swift
swift-nio-http3,Swift
swift-nio-imap,Swift
swift-nio-nghttp2-support,Swift
swift-nio-oblivious-http,Swift
swift-nio-quic,Swift
swift-nio-quic-helpers,Swift
swift-nio-ssh,Swift
swift-nio-ssl,Assembly
swift-nio-ssl-support,Swift
swift-nio-transport-services,Swift
swift-nio-zlib-support,Swift
swift-ntp,Swift
swift-numerics,Swift
swift-openapi-generator,Swift
swift-openapi-runtime,Swift
swift-openapi-urlsession,Swift
swift-play-experimental,Swift
swift-profile-recorder,Swift
swift-protobuf,Swift
swift-protobuf-plugin,
swift-protobuf-test-conformance,
swift-sample-distributed-actors-transport,Swift
swift-service-context,Swift
swift-service-discovery,Swift
swift-statsd-client,Swift
swift-string-processing-benchmarks,Swift
swift-system,Swift
swift-system-metrics,Swift
swift-temporal-sdk,Swift
swift-tls,Swift
swift-tools-support-async,Swift
swiftpm-on-llbuild2,Swift
SwiftUsd,C++
SwiftUsd-ast-answerer,C++
SwiftUsd-Tests,Swift
tensor-visualizer,Svelte
tensorflow_macos,Shell
tree-sitter-pkl,Kotlin
truetype-hinting-interpreter-example,Swift
turicreate,C++
unityplugins,C#
xcode-project-format,Swift
